p-value	categories	group1	group2
0.48662849606427	basofili	mild	severe
0.597325412864874	creatinina	mild	severe
0.00333470438118339	D_Dimero	mild	severe
0.841952457024755	eosinofili	mild	severe
0.0599241756413629	ferritina	mild	severe
0.00206877862166875	IL6	mild	severe
0.114508343248893	linfociti	mild	severe
0.429619682619111	monociti	mild	severe
0.00343619229068145	neutrofili	mild	severe
3.09288234984829e-06	PCR_arruolamento	mild	severe
0.000429910646628913	PCR_giorno_esame	mild	severe
